Model;Ablasyon;Head;Tune;Rock (F1);Paper (F1);Scissors (F1);None/Bg (F1)
VGG16;FULL;Standard;Standard;0.6210;0.8864;0.8689;0.6803
EfficientNetV2B0;FULL;Attention;Progressive;0.8108;0.7089;0.7423;0.7937
ResNet50;NO_SYNTH;Standard;Progressive;0.8418;0.8107;0.6115;0.7871
VGG16;NO_SHIFT;Standard;Standard;0.6154;0.8708;0.8764;0.6803
VGG16;STYLE_TRANSFER;Standard;Progressive;0.6261;0.8485;0.8750;0.6912
VGG16;RATIO_1X;Standard;Standard;0.6339;0.8635;0.8485;0.6803
VGG16;NO_ALPHA;Standard;Progressive;0.5963;0.8849;0.8604;0.6834
VGG16;RANDBG;Standard;Standard;0.6126;0.8782;0.8561;0.6772
VGG16;STYLE_TRANSFER;Standard;Progressive;0.6261;0.8263;0.8718;0.6849
VGG16;FULL;Standard;Standard;0.5966;0.8832;0.8327;0.6961
EfficientNetV2B0;FULL;Attention;Progressive;0.8162;0.7034;0.7039;0.7732
MobileNetV3Small;RATIO_1X;Standard;Progressive;0.8453;0.6795;0.6667;0.8043
EfficientNetV2B0;FULL;Standard;Standard;0.5915;0.8968;0.8372;0.6696
MobileNetV3Small;STYLE_TRANSFER;Standard;Progressive;0.8539;0.6058;0.6826;0.8380
EfficientNetV2B0;INDOOR;Standard;Progressive;0.7419;0.7826;0.7324;0.7229
VGG16;STYLE_TRANSFER;Standard;Progressive;0.5973;0.8308;0.8759;0.6742
MobileNetV3Small;GAN;Standard;Progressive;0.8815;0.6316;0.6379;0.8264
VGG16;NO_SHIFT;Standard;Progressive;0.5524;0.8759;0.8718;0.6772
MobileNetV3Small;FULL;Standard;Progressive;0.8308;0.6782;0.6619;0.8043
VGG16;REMBG_ONLY;Standard;Standard;0.5946;0.8689;0.8462;0.6652
EfficientNetV2B0;NO_ALPHA;Standard;Progressive;0.7805;0.7303;0.7279;0.7353
VGG16;RANDBG;Standard;Progressive;0.5852;0.8625;0.8397;0.6818
MobileNetV3Small;RATIO_1X;Standard;Progressive;0.8614;0.5952;0.6708;0.8357
MobileNetV3Small;NO_ALPHA;Standard;Progressive;0.8632;0.6215;0.6532;0.8174
EfficientNetV2B0;RANDBG;Standard;Progressive;0.7592;0.7295;0.7255;0.7407
EfficientNetV2B0;RATIO_1X;Standard;Progressive;0.7417;0.7243;0.7419;0.7371
MobileNetV3Small;STYLE_TRANSFER;Standard;Progressive;0.8507;0.6111;0.6541;0.8287
MobileNetV3Small;RANDBG;Standard;Progressive;0.8529;0.6172;0.6410;0.8333
VGG16;INDOOR;Standard;Standard;0.5766;0.8718;0.8235;0.6667
MobileNetV3Small;FULL;Standard;Progressive;0.8365;0.6457;0.6495;0.8065
EfficientNetV2B0;INDOOR;Standard;Progressive;0.6809;0.7809;0.7801;0.6944
EfficientNetV2B0;RANDBG;Standard;Progressive;0.7203;0.7520;0.7184;0.7407
VGG16;RATIO_1X;Standard;Progressive;0.4975;0.8982;0.8636;0.6667
EfficientNetV2B0;RATIO_1X;Standard;Progressive;0.7922;0.6695;0.7120;0.7500
VGG16;GAN;Standard;Progressive;0.5429;0.8485;0.8731;0.6550
EfficientNetV2B0;NO_SHIFT;Standard;Progressive;0.7009;0.7510;0.7584;0.7092
VGG16;RATIO_1X;Standard;Progressive;0.5098;0.8614;0.8832;0.6593
VGG16;REMBG_ONLY;Standard;Standard;0.6154;0.8249;0.8093;0.6637
MobileNetV3Small;STYLE_TRANSFER;Standard;Progressive;0.8171;0.6596;0.6364;0.8000
VGG16;RANDBG;Standard;Progressive;0.5308;0.8645;0.8550;0.6608
VGG16;INDOOR;Standard;Standard;0.5888;0.8352;0.8417;0.6438
VGG16;REMBG_ONLY;Standard;Progressive;0.5965;0.8125;0.8385;0.6579
VGG16;NO_SHIFT;Standard;Progressive;0.5123;0.8582;0.8782;0.6550
EfficientNetV2B0;NO_SHIFT;Standard;Progressive;0.7600;0.7190;0.7059;0.7160
VGG16;NO_ALPHA;Standard;Progressive;0.4900;0.8667;0.8856;0.6536
MobileNetV3Small;NO_ALPHA;Standard;Progressive;0.8409;0.5738;0.6485;0.8287
VGG16;NO_ALPHA;Standard;Progressive;0.5025;0.8539;0.8782;0.6536
EfficientNetV2B0;REMBG_ONLY;Standard;Progressive;0.7661;0.6946;0.6954;0.7299
MobileNetV3Small;NO_ALPHA;Standard;Progressive;0.8817;0.5277;0.6209;0.8547
MobileNetV3Small;FULL;Standard;Progressive;0.8333;0.5739;0.6727;0.8043
EfficientNetV2B0;STYLE_TRANSFER;Standard;Progressive;0.6894;0.7757;0.7212;0.6928
MobileNetV3Small;RANDBG;Standard;Progressive;0.8421;0.5408;0.6667;0.8287
MobileNetV3Small;RANDBG;Standard;Progressive;0.8464;0.6209;0.5986;0.8065
EfficientNetV2B0;GAN;Standard;Progressive;0.6949;0.7440;0.7192;0.7109
MobileNetV3Small;REMBG_ONLY;Standard;Progressive;0.8217;0.5523;0.6589;0.8333
MobileNetV3Small;RATIO_1X;Standard;Progressive;0.8217;0.5887;0.6587;0.7958
VGG16;RATIO_1X;Standard;Progressive;0.5171;0.8444;0.8550;0.6479
MobileNetV3Small;REMBG_ONLY;Standard;Progressive;0.8185;0.5714;0.6398;0.8333
VGG16;GAN;Standard;Progressive;0.5288;0.8333;0.8517;0.6452
EfficientNetV2B0;FULL;Spatial Pooling;Progressive;0.6460;0.7668;0.7500;0.6928
VGG16;FULL;Standard;Progressive;0.4747;0.8625;0.8731;0.6452
EfficientNetV2B0;RATIO_1X;Standard;Progressive;0.7490;0.6460;0.7091;0.7481
VGG16;NO_ALPHA;Standard;Progressive;0.4800;0.8699;0.8593;0.6410
MobileNetV3Small;INDOOR;Standard;Progressive;0.8308;0.5593;0.6448;0.8130
MobileNetV3Small;GAN;Standard;Progressive;0.7984;0.6575;0.6052;0.7863
VGG16;REMBG_ONLY;Standard;Standard;0.6201;0.7840;0.8016;0.6397
MobileNetV3Small;RATIO_1X;Standard;Progressive;0.8485;0.5635;0.6159;0.8130
EfficientNetV2B0;STYLE_TRANSFER;Standard;Progressive;0.7143;0.6780;0.7220;0.7264
VGG16;STYLE_TRANSFER;Standard;Progressive;0.4780;0.8528;0.8614;0.6479
MobileNetV3Small;FULL;Standard;Progressive;0.8397;0.5579;0.6444;0.7979
MobileNetV3Small;STYLE_TRANSFER;Standard;Progressive;0.8171;0.5385;0.6453;0.8219
VGG16;RATIO_1X;Standard;Progressive;0.4615;0.8444;0.8731;0.6424
EfficientNetV2B0;INDOOR;Standard;Progressive;0.7009;0.7265;0.6942;0.6977
MobileNetV3Small;RATIO_1X;Standard;Progressive;0.8168;0.5897;0.6454;0.7673
VGG16;NO_SHIFT;Standard;Progressive;0.4925;0.8263;0.8657;0.6329
EfficientNetV2B0;FULL;Spatial Pooling;Progressive;0.5767;0.7954;0.7714;0.6726
MobileNetV3Small;GAN;Standard;Progressive;0.8441;0.5692;0.5981;0.8043
VGG16;INDOOR;Standard;Progressive;0.4824;0.8444;0.8441;0.6410
VGG16;REMBG_ONLY;Standard;Standard;0.5581;0.8217;0.7984;0.6329
MobileNetV3Small;STYLE_TRANSFER;Standard;Progressive;0.8263;0.5110;0.6647;0.8086
MobileNetV3Small;REMBG_ONLY;Standard;Progressive;0.8110;0.5286;0.6423;0.8242
MobileNetV3Small;INDOOR;Standard;Progressive;0.8736;0.4771;0.6185;0.8357
MobileNetV3Small;NO_SHIFT;Standard;Progressive;0.8151;0.5463;0.6407;0.8021
VGG16;REMBG_ONLY;Standard;Progressive;0.5263;0.8078;0.8385;0.6303
MobileNetV3Small;RANDBG;Standard;Progressive;0.7805;0.5514;0.6455;0.8242
EfficientNetV2B0;RATIO_1X;Standard;Progressive;0.5926;0.7615;0.7509;0.6961
VGG16;GAN;Standard;Progressive;0.5327;0.8031;0.8276;0.6369
EfficientNetV2B0;REMBG_ONLY;Standard;Progressive;0.7386;0.6368;0.6911;0.7335
VGG16;FULL;Standard;Progressive;0.4615;0.8365;0.8689;0.6316
EfficientNetV2B0;NO_ALPHA;Standard;Progressive;0.6579;0.7265;0.7114;0.6993
MobileNetV3Small;GAN;Standard;Progressive;0.8217;0.5362;0.6269;0.8065
VGG16;GAN;Standard;Progressive;0.4615;0.8478;0.8385;0.6397
EfficientNetV2B0;NO_SYNTH;Standard;Progressive;0.7099;0.7067;0.6100;0.7608
EfficientNetV2B0;RANDBG;Standard;Progressive;0.6547;0.6888;0.7073;0.7353
EfficientNetV2B0;FULL;Spatial Pooling;Progressive;0.5767;0.7692;0.7762;0.6637
VGG16;NO_SHIFT;Standard;Progressive;0.4293;0.8539;0.8722;0.6303
VGG16;INDOOR;Standard;Progressive;0.4293;0.8676;0.8550;0.6316
MobileNetV3Small;NO_SHIFT;Standard;Progressive;0.8276;0.4980;0.6145;0.8380
MobileNetV3Small;NO_SHIFT;Standard;Progressive;0.8075;0.5508;0.6289;0.7874
MobileNetV3Small;FULL;Standard;Progressive;0.8528;0.5150;0.6037;0.8021
MobileNetV3Small;NO_ALPHA;Standard;Progressive;0.7969;0.5428;0.5949;0.8357
EfficientNetV2B0;FULL;Attention;Progressive;0.5860;0.7631;0.7309;0.6897
EfficientNetV2B0;FULL;Attention;Progressive;0.6368;0.7273;0.7285;0.6757
VGG16;GAN;Standard;Progressive;0.4724;0.8108;0.8496;0.6303
MobileNetV3Small;REMBG_ONLY;Standard;Progressive;0.8385;0.5126;0.6116;0.8000
VGG16;RANDBG;Standard;Progressive;0.4422;0.8370;0.8417;0.6356
EfficientNetV2B0;FULL;Spatial Pooling;Progressive;0.5888;0.7778;0.7234;0.6637
MobileNetV3Small;INDOOR;Standard;Progressive;0.8302;0.5214;0.6106;0.7895
VGG16;STYLE_TRANSFER;Standard;Progressive;0.4467;0.8185;0.8571;0.6276
EfficientNetV2B0;INDOOR;Standard;Progressive;0.7089;0.6429;0.6855;0.7126
MobileNetV3Small;REMBG_ONLY;Standard;Progressive;0.7541;0.5622;0.6168;0.8043
EfficientNetV2B0;FULL;Standard;Progressive;0.5701;0.7897;0.6943;0.6667
EfficientNetV2B0;REMBG_ONLY;Standard;Progressive;0.6724;0.6637;0.7043;0.6803
VGG16;RATIO_1X;Standard;Progressive;0.4227;0.8365;0.8417;0.6198
VGG16;FULL;Standard;Progressive;0.4221;0.8321;0.8372;0.6237
MobileNetV3Small;GAN;Standard;Progressive;0.7843;0.5918;0.5813;0.7558
MobileNetV3Small;INDOOR;Standard;Progressive;0.7905;0.4405;0.6322;0.8499
VGG16;RANDBG;Standard;Standard;0.4900;0.7953;0.8157;0.6110
EfficientNetV2B0;RANDBG;Standard;Progressive;0.6752;0.6578;0.6863;0.6897
MobileNetV3Small;RANDBG;Standard;Progressive;0.7905;0.5403;0.5968;0.7812
VGG16;FULL;Standard;Progressive;0.4000;0.8352;0.8517;0.6173
MobileNetV3Small;NO_SHIFT;Standard;Progressive;0.7734;0.5643;0.5942;0.7692
EfficientNetV2B0;NO_SHIFT;Standard;Progressive;0.6491;0.6809;0.6869;0.6818
EfficientNetV2B0;GAN;Standard;Progressive;0.6432;0.6988;0.6912;0.6637
EfficientNetV2B0;STYLE_TRANSFER;Standard;Progressive;0.6283;0.6864;0.6980;0.6818
VGG16;RANDBG;Standard;Progressive;0.4375;0.8222;0.8142;0.6186
VGG16;INDOOR;Standard;Progressive;0.4456;0.8031;0.8372;0.6061
MobileNetV3Small;NO_ALPHA;Standard;Progressive;0.7698;0.4891;0.6225;0.8065
EfficientNetV2B0;NO_ALPHA;Standard;Progressive;0.7173;0.6244;0.6689;0.6772
EfficientNetV2B0;FULL;Standard;Progressive;0.6027;0.7029;0.7123;0.6667
EfficientNetV2B0;GAN;Standard;Progressive;0.6182;0.7025;0.6944;0.6667
EfficientNetV2B0;NO_SHIFT;Standard;Progressive;0.6210;0.6520;0.7048;0.6834
EfficientNetV2B0;REMBG_ONLY;Standard;Progressive;0.7113;0.6494;0.6377;0.6608
EfficientNetV2B0;NO_SHIFT;Standard;Progressive;0.6696;0.5991;0.6829;0.7009
EfficientNetV2B0;FULL;Standard;Progressive;0.6489;0.6435;0.6844;0.6757
MobileNetV3Small;INDOOR;Standard;Progressive;0.7490;0.5747;0.5724;0.7519
EfficientNetV2B0;REMBG_ONLY;Standard;Progressive;0.6047;0.7000;0.6978;0.6424
EfficientNetV2B0;GAN;Standard;Progressive;0.5524;0.7049;0.7095;0.6667
MobileNetV3Small;NO_SYNTH;Standard;Standard;0.7632;0.6484;0.7719;0.4375
EfficientNetV2B0;FULL;Spatial Pooling;Progressive;0.4800;0.7594;0.7189;0.6623
EfficientNetV2B0;RATIO_1X;Standard;Progressive;0.5728;0.6781;0.6906;0.6711
VGG16;RANDBG;Standard;Progressive;0.3784;0.8102;0.8048;0.6122
VGG16;INDOOR;Standard;Progressive;0.3784;0.8151;0.8016;0.6024
MobileNetV3Small;NO_SHIFT;Standard;Progressive;0.8047;0.4072;0.5872;0.7916
EfficientNetV2B0;FULL;Standard;Progressive;0.5340;0.6753;0.7111;0.6696
VGG16;NO_ALPHA;Standard;Progressive;0.3407;0.7953;0.8473;0.5976
EfficientNetV2B0;FULL;Standard;Progressive;0.6335;0.5833;0.6707;0.6897
EfficientNetV2B0;NO_ALPHA;Standard;Progressive;0.5366;0.6753;0.7235;0.6369
VGG16;INDOOR;Standard;Progressive;0.3425;0.8154;0.8142;0.5929
EfficientNetV2B0;FULL;Attention;Progressive;0.5888;0.6400;0.6710;0.6608
EfficientNetV2B0;INDOOR;Standard;Progressive;0.5926;0.5973;0.6708;0.6757
EfficientNetV2B0;GAN;Standard;Progressive;0.5359;0.7000;0.6642;0.6250
VGG16;REMBG_ONLY;Standard;Progressive;0.3938;0.7469;0.7984;0.5848
VGG16;REMBG_ONLY;Standard;Progressive;0.4000;0.7407;0.7905;0.5894
EfficientNetV2B0;STYLE_TRANSFER;Standard;Progressive;0.5472;0.6119;0.6903;0.6536
VGG16;FULL;Standard;Progressive;0.3146;0.7692;0.8249;0.5792
EfficientNetV2B0;STYLE_TRANSFER;Standard;Progressive;0.5073;0.6580;0.6803;0.6383
EfficientNetV2B0;NO_ALPHA;Standard;Progressive;0.5025;0.6579;0.6803;0.6316
VGG16;REMBG_ONLY;Standard;Progressive;0.3598;0.7364;0.7920;0.5747
DenseNet121;NO_SYNTH;Standard;Standard;0.9115;0.5926;0.8340;0.0000
DenseNet121;NO_SYNTH;Standard;Standard;0.9241;0.7246;0.6279;0.0000
DenseNet121;NO_SYNTH;Standard;Standard;0.8896;0.6013;0.7559;0.0000
ResNet50;NO_SYNTH;Standard;Standard;0.7249;0.6931;0.8269;0.0000
DenseNet121;NO_SYNTH;Standard;Standard;0.8464;0.7454;0.6400;0.0000
MobileNetV3Small;NO_SYNTH;Standard;Standard;0.7040;0.6436;0.7109;0.1576
DenseNet121;NO_SYNTH;Standard;Standard;0.8589;0.7190;0.6168;0.0132
MobileNetV3Small;NO_SYNTH;Standard;Standard;0.8675;0.5339;0.7931;0.0132
EfficientNetV2B0;NO_SYNTH;Standard;Standard;0.7235;0.6701;0.8088;0.0000
EfficientNetV2B0;NO_SYNTH;Standard;Standard;0.6895;0.7050;0.8062;0.0000
ResNet50;NO_SYNTH;Standard;Standard;0.7810;0.6092;0.8031;0.0000
EfficientNetV2B0;NO_SYNTH;Standard;Standard;0.7330;0.6751;0.7823;0.0000
ResNet50;NO_SYNTH;Standard;Standard;0.7520;0.6502;0.7732;0.0000
EfficientNetV2B0;NO_SYNTH;Standard;Standard;0.7726;0.7155;0.6727;0.0000
EfficientNetV2B0;NO_SYNTH;Standard;Standard;0.7398;0.6716;0.7422;0.0000
ResNet50;NO_SYNTH;Standard;Standard;0.6848;0.6784;0.7887;0.0000
MobileNetV3Small;NO_SYNTH;Standard;Progressive;0.6203;0.5333;0.6098;0.3562
ResNet50;NO_SYNTH;Standard;Standard;0.6841;0.6586;0.7402;0.0000
ResNet50;NO_SYNTH;Standard;Progressive;0.8389;0.5708;0.6207;0.0000
DenseNet121;NO_SYNTH;Standard;Progressive;0.6471;0.7215;0.6580;0.0000
MobileNetV3Small;NO_SYNTH;Standard;Standard;0.7143;0.5938;0.7019;0.0000
DenseNet121;NO_SYNTH;Standard;Progressive;0.8073;0.7030;0.4682;0.0000
EfficientNetV2B0;NO_SYNTH;Standard;Progressive;0.8339;0.5093;0.6327;0.0000
EfficientNetV2B0;NO_SYNTH;Standard;Progressive;0.7794;0.5161;0.6688;0.0000
ResNet50;NO_SYNTH;Standard;Progressive;0.8512;0.6258;0.4686;0.0000
VGG16;NO_SYNTH;Standard;Standard;0.5545;0.8051;0.5701;0.0000
DenseNet121;NO_SYNTH;Standard;Progressive;0.8982;0.6114;0.4183;0.0000
VGG16;NO_SYNTH;Standard;Standard;0.6633;0.6375;0.6235;0.0000
VGG16;NO_SYNTH;Standard;Standard;0.5517;0.8280;0.5421;0.0000
ResNet50;NO_SYNTH;Standard;Progressive;0.7768;0.6282;0.4758;0.0131
ResNet50;NO_SYNTH;Standard;Progressive;0.7607;0.6313;0.4638;0.0219
VGG16;NO_SYNTH;Standard;Progressive;0.5255;0.7778;0.5664;0.0000
MobileNetV3Small;NO_SYNTH;Standard;Standard;0.6856;0.5995;0.5787;0.0000
VGG16;NO_SYNTH;Standard;Progressive;0.6189;0.6307;0.5792;0.0000
VGG16;NO_SYNTH;Standard;Progressive;0.5079;0.7471;0.5688;0.0000
MobileNetV3Small;NO_SYNTH;Standard;Progressive;0.6622;0.4543;0.6803;0.0000
VGG16;NO_SYNTH;Standard;Progressive;0.6258;0.7574;0.4000;0.0124
DenseNet121;NO_SYNTH;Standard;Progressive;0.6523;0.6332;0.5023;0.0000
VGG16;NO_SYNTH;Standard;Standard;0.6080;0.6485;0.5073;0.0132
MobileNetV3Small;NO_SYNTH;Standard;Progressive;0.6036;0.5235;0.6275;0.0000
DenseNet121;NO_SYNTH;Standard;Progressive;0.7243;0.5468;0.4000;0.0000
VGG16;NO_SYNTH;Standard;Standard;0.6633;0.6151;0.3587;0.0000
VGG16;NO_SYNTH;Standard;Progressive;0.5498;0.7770;0.2759;0.0000
MobileNetV3Small;NO_SYNTH;Standard;Progressive;0.4505;0.4816;0.6276;0.0000
MobileNetV3Small;NO_SYNTH;Standard;Progressive;0.5774;0.4908;0.4730;0.0000
EfficientNetV2B0;NO_SYNTH;Standard;Progressive;0.2778;0.5821;0.5270;0.0000
EfficientNetV2B0;NO_SYNTH;Standard;Progressive;0.4528;0.5009;0.3966;0.0000
