Model;Ablasyon;Head;Tune;Rock F1 (Mean±SD);Paper F1 (Mean±SD);Scissors F1 (Mean±SD);Background F1 (Mean±SD)
EfficientNetV2B0;FULL;Attention;Progressive;94.30 ± 0.70;89.83 ± 0.90;90.39 ± 0.65;98.75 ± 0.13
EfficientNetV2B0;FULL;Standard;Standard;99.87 ± 0.07;99.79 ± 0.04;99.84 ± 0.08;99.81 ± 0.02
EfficientNetV2B0;RANDBG;Standard;Standard;99.94 ± 0.01;99.77 ± 0.07;99.85 ± 0.06;99.91 ± 0.01
EfficientNetV2B0;RANDBG;Standard;Progressive;94.11 ± 0.69;90.08 ± 0.59;90.23 ± 0.42;98.01 ± 0.22
EfficientNetV2B0;RATIO_1X;Standard;Standard;98.54 ± 2.89;97.42 ± 4.95;97.59 ± 4.61;99.50 ± 0.80
DenseNet121;GAN;Standard;Standard;99.95 ± 0.03;99.77 ± 0.10;99.81 ± 0.08;99.92 ± 0.03
DenseNet121;GAN;Standard;Progressive;99.91 ± 0.05;99.61 ± 0.08;99.72 ± 0.06;99.82 ± 0.03
DenseNet121;REMBG_ONLY;Standard;Standard;99.92 ± 0.04;99.79 ± 0.05;99.80 ± 0.05;99.91 ± 0.04
DenseNet121;INDOOR;Standard;Standard;99.99 ± 0.01;99.95 ± 0.08;99.96 ± 0.02;99.95 ± 0.04
DenseNet121;INDOOR;Standard;Progressive;99.93 ± 0.05;99.69 ± 0.05;99.73 ± 0.03;99.86 ± 0.02
DenseNet121;STYLE_TRANSFER;Standard;Standard;99.84 ± 0.04;99.47 ± 0.14;99.45 ± 0.14;99.89 ± 0.03
DenseNet121;NO_SYNTH;Standard;Standard;67.36 ± 4.99;62.60 ± 5.10;62.51 ± 8.05;12.45 ± 7.82
DenseNet121;NO_ALPHA;Standard;Standard;99.95 ± 0.04;99.67 ± 0.10;99.72 ± 0.13;99.87 ± 0.03
DenseNet121;NO_SHIFT;Standard;Standard;99.90 ± 0.05;99.56 ± 0.10;99.60 ± 0.09;99.84 ± 0.05
DenseNet121;FULL;Standard;Progressive;99.91 ± 0.03;99.65 ± 0.04;99.73 ± 0.04;99.84 ± 0.01
DenseNet121;FULL;Standard;Standard;99.98 ± 0.01;99.94 ± 0.07;99.96 ± 0.03;99.96 ± 0.06
DenseNet121;RANDBG;Standard;Standard;99.98 ± 0.02;99.98 ± 0.02;99.98 ± 0.01;99.98 ± 0.02
DenseNet121;RANDBG;Standard;Progressive;99.92 ± 0.09;99.71 ± 0.03;99.79 ± 0.06;99.85 ± 0.04
DenseNet121;RATIO_1X;Standard;Standard;99.90 ± 0.03;99.64 ± 0.15;99.65 ± 0.13;99.89 ± 0.03
ResNet50;GAN;Standard;Standard;99.98 ± 0.01;99.87 ± 0.08;99.92 ± 0.06;99.94 ± 0.07
ResNet50;GAN;Standard;Progressive;99.98 ± 0.02;99.84 ± 0.03;99.91 ± 0.03;99.92 ± 0.06
ResNet50;REMBG_ONLY;Standard;Standard;99.95 ± 0.05;99.79 ± 0.03;99.89 ± 0.05;99.85 ± 0.04
ResNet50;INDOOR;Standard;Progressive;99.98 ± 0.02;99.85 ± 0.02;99.95 ± 0.02;99.87 ± 0.02
ResNet50;INDOOR;Standard;Standard;99.96 ± 0.02;99.89 ± 0.09;99.94 ± 0.04;99.93 ± 0.06
ResNet50;STYLE_TRANSFER;Standard;Standard;99.89 ± 0.06;99.70 ± 0.09;99.79 ± 0.10;99.85 ± 0.04
ResNet50;NO_SHIFT;Standard;Standard;99.92 ± 0.02;99.77 ± 0.02;99.84 ± 0.05;99.87 ± 0.03
ResNet50;NO_SYNTH;Standard;Standard;56.60 ± 3.63;69.66 ± 6.07;52.74 ± 15.19;9.30 ± 14.62
ResNet50;NO_ALPHA;Standard;Standard;99.91 ± 0.05;99.67 ± 0.05;99.74 ± 0.06;99.86 ± 0.03
ResNet50;FULL;Standard;Standard;99.96 ± 0.04;99.90 ± 0.10;99.93 ± 0.06;99.92 ± 0.07
ResNet50;FULL;Standard;Progressive;99.97 ± 0.03;99.87 ± 0.01;99.98 ± 0.02;99.87 ± 0.02
ResNet50;RANDBG;Standard;Standard;99.99 ± 0.01;99.95 ± 0.06;99.98 ± 0.02;99.96 ± 0.05
ResNet50;RANDBG;Standard;Progressive;99.99 ± 0.02;99.92 ± 0.03;99.97 ± 0.04;99.94 ± 0.04
ResNet50;RATIO_1X;Standard;Standard;99.89 ± 0.07;99.71 ± 0.09;99.79 ± 0.09;99.84 ± 0.03
