Model;Ablasyon;Head;Tune;Macro Precision;Macro Recall;Weighted Precision;Weighted Recall
MobileNetV3Small;NO_SYNTH;Standard;Standard;70.59%;61.00%;70.59%;61.00%
MobileNetV3Small;NO_SHIFT;Standard;Progressive;69.53%;66.50%;69.53%;66.50%
DenseNet121;NO_SYNTH;Standard;Standard;57.90%;65.17%;57.90%;65.17%
VGG16;NO_SYNTH;Standard;Progressive;55.60%;46.83%;55.60%;46.83%
MobileNetV3Small;NO_SYNTH;Standard;Progressive;55.32%;54.33%;55.32%;54.33%
DenseNet121;NO_SYNTH;Standard;Standard;55.13%;63.50%;55.13%;63.50%
VGG16;NO_SYNTH;Standard;Progressive;53.86%;50.33%;53.86%;50.33%
ResNet50;NO_SYNTH;Standard;Standard;53.61%;62.00%;53.61%;62.00%
VGG16;NO_SYNTH;Standard;Standard;52.87%;55.33%;52.87%;55.33%
VGG16;NO_SYNTH;Standard;Progressive;52.23%;50.50%;52.23%;50.50%
EfficientNetV2B0;NO_SYNTH;Standard;Standard;52.17%;63.33%;52.17%;63.33%
VGG16;NO_SYNTH;Standard;Standard;52.15%;55.33%;52.15%;55.33%
ResNet50;NO_SYNTH;Standard;Progressive;51.54%;58.17%;51.54%;58.17%
DenseNet121;NO_SYNTH;Standard;Progressive;51.30%;48.83%;51.30%;48.83%
DenseNet121;NO_SYNTH;Standard;Standard;51.22%;65.67%;51.22%;65.67%
ResNet50;NO_SYNTH;Standard;Standard;51.11%;64.83%;51.11%;64.83%
ResNet50;NO_SYNTH;Standard;Progressive;50.97%;55.83%;50.97%;55.83%
EfficientNetV2B0;NO_SYNTH;Standard;Standard;50.90%;63.50%;50.90%;63.50%
EfficientNetV2B0;NO_SYNTH;Standard;Standard;50.78%;62.50%;50.78%;62.50%
DenseNet121;NO_SYNTH;Standard;Progressive;50.68%;59.17%;50.68%;59.17%
EfficientNetV2B0;NO_SYNTH;Standard;Standard;50.55%;63.33%;50.55%;63.33%
ResNet50;NO_SYNTH;Standard;Standard;50.41%;62.83%;50.41%;62.83%
ResNet50;NO_SYNTH;Standard;Standard;49.58%;60.17%;49.58%;60.17%
DenseNet121;NO_SYNTH;Standard;Standard;49.34%;64.83%;49.34%;64.83%
ResNet50;NO_SYNTH;Standard;Standard;48.95%;62.17%;48.95%;62.17%
VGG16;NO_SYNTH;Standard;Standard;48.86%;51.50%;48.86%;51.50%
VGG16;NO_SYNTH;Standard;Progressive;47.58%;53.67%;47.58%;53.67%
EfficientNetV2B0;NO_SYNTH;Standard;Standard;47.30%;63.17%;47.30%;63.17%
MobileNetV3Small;NO_SYNTH;Standard;Standard;46.94%;58.00%;46.94%;58.00%
EfficientNetV2B0;NO_SYNTH;Standard;Progressive;45.98%;55.33%;45.98%;55.33%
VGG16;NO_SYNTH;Standard;Standard;45.82%;56.33%;45.82%;56.33%
MobileNetV3Small;NO_SYNTH;Standard;Standard;45.52%;54.83%;45.52%;54.83%
DenseNet121;NO_SYNTH;Standard;Progressive;45.38%;53.50%;45.38%;53.50%
ResNet50;NO_SYNTH;Standard;Progressive;45.37%;56.17%;45.37%;56.17%
DenseNet121;NO_SYNTH;Standard;Progressive;45.32%;55.33%;45.32%;55.33%
MobileNetV3Small;NO_SYNTH;Standard;Progressive;45.09%;48.50%;45.09%;48.50%
VGG16;NO_SYNTH;Standard;Progressive;44.71%;51.50%;44.71%;51.50%
DenseNet121;NO_SYNTH;Standard;Progressive;44.37%;57.33%;44.37%;57.33%
EfficientNetV2B0;NO_SYNTH;Standard;Progressive;44.19%;55.83%;44.19%;55.83%
ResNet50;NO_SYNTH;Standard;Progressive;44.19%;53.50%;44.19%;53.50%
MobileNetV3Small;NO_SYNTH;Standard;Progressive;42.90%;49.17%;42.90%;49.17%
EfficientNetV2B0;NO_SYNTH;Standard;Progressive;42.11%;37.83%;42.11%;37.83%
MobileNetV3Small;NO_SYNTH;Standard;Progressive;38.05%;43.50%;38.05%;43.50%
MobileNetV3Small;NO_SYNTH;Standard;Progressive;36.71%;44.67%;36.71%;44.67%
EfficientNetV2B0;NO_SYNTH;Standard;Progressive;35.55%;38.33%;35.55%;38.33%
