model,ablation,head,tune,fold,accuracy,macro_f1,weighted_f1
DenseNet121,FULL,standard,progressive,1,0.9979557940462501,0.9979549026612275,0.9979554377795309
DenseNet121,FULL,standard,progressive,2,0.9974447425578127,0.9974439268537023,0.9974443826114281
DenseNet121,FULL,standard,progressive,3,0.9979557940462501,0.9979536451650739,0.9979548423570267
DenseNet121,FULL,standard,progressive,4,0.9977002683020314,0.997698761370059,0.9976995438538969
DenseNet121,FULL,standard,progressive,5,0.9979557940462501,0.9979543097655661,0.9979552689107727
DenseNet121,FULL,standard,standard,1,0.9998722371278906,0.9998726093480785,0.9998722369951962
DenseNet121,FULL,standard,standard,2,0.9989778970231251,0.9989763286270881,0.9989777613119691
DenseNet121,FULL,standard,standard,3,0.9997444742557813,0.9997445600090197,0.9997444733554848
DenseNet121,FULL,standard,standard,4,0.9997444742557813,0.9997445600090197,0.9997444733554848
DenseNet121,FULL,standard,standard,5,0.9997444742557813,0.9997440798392428,0.999744506739175
DenseNet121,GAN,standard,progressive,1,0.9978280311741408,0.9978255538386818,0.9978272824559468
DenseNet121,GAN,standard,progressive,2,0.9977002683020314,0.9976984588992335,0.9976998429623944
DenseNet121,GAN,standard,progressive,3,0.997189216813594,0.9971859601462749,0.9971873408003152
DenseNet121,GAN,standard,progressive,4,0.9977002683020314,0.9976973051350622,0.997698750551025
DenseNet121,GAN,standard,progressive,5,0.9977002683020314,0.9976998662096537,0.9977000633419965
DenseNet121,GAN,standard,standard,1,0.9988501341510158,0.9988497906505077,0.998849922944636
DenseNet121,GAN,standard,standard,2,0.9980835569183595,0.9980813270141884,0.9980824751171163
DenseNet121,GAN,standard,standard,3,0.9991056598952345,0.9991053451881443,0.9991055572904101
DenseNet121,GAN,standard,standard,4,0.9980835569183595,0.9980835821602173,0.998083310866443
DenseNet121,GAN,standard,standard,5,0.9991056598952345,0.9991052210384059,0.9991055252393667
DenseNet121,INDOOR,standard,progressive,1,0.9979557940462501,0.9979552191713716,0.9979554906871333
DenseNet121,INDOOR,standard,progressive,2,0.9982113197904688,0.9982106494200285,0.9982110117566844
DenseNet121,INDOOR,standard,progressive,3,0.9979557940462501,0.9979552960864795,0.9979556573245022
DenseNet121,INDOOR,standard,progressive,4,0.9979557940462501,0.9979550219361519,0.9979559569275378
DenseNet121,INDOOR,standard,progressive,5,0.9980835569183595,0.9980848382871927,0.9980838394582849
DenseNet121,INDOOR,standard,standard,1,0.9991056598952345,0.9991040102595188,0.9991053938888008
DenseNet121,INDOOR,standard,standard,2,0.9998722371278906,0.9998726747250023,0.9998722370119018
DenseNet121,INDOOR,standard,standard,3,0.9998722371278906,0.9998726747250023,0.9998722370119018
DenseNet121,INDOOR,standard,standard,4,0.9994889485115626,0.999488673932664,0.9994889481842975
DenseNet121,INDOOR,standard,standard,5,0.9998722371278906,0.9998726093480785,0.9998722369951962
DenseNet121,NO_ALPHA,standard,standard,1,0.9980835569183595,0.9980828377787776,0.9980833940262062
DenseNet121,NO_ALPHA,standard,standard,2,0.9970614539414846,0.9970614055507205,0.9970611672269621
DenseNet121,NO_ALPHA,standard,standard,3,0.998594608406797,0.9985927279420794,0.9985939427355208
DenseNet121,NO_ALPHA,standard,standard,4,0.9987223712789064,0.998721047031612,0.9987219726407593
DenseNet121,NO_ALPHA,standard,standard,5,0.997572505429922,0.9975725881019568,0.9975720190807202
